"tag_keyword_1","tag_keyword_2","tag_keyword_3","newtag"
"Fantasy","Urban","Steampunk","Fiction:Fantasy-Urban-Steampunk"
"Romance","Vampire","NONE","Fiction:Romance-Paranormal"
"Romance","Suspense","NONE","Fiction:Romance-Suspense"
"Romance","Thriller","NONE","Fiction:Romance-Suspense"
"Romance","Werewolves","NONE","Fiction:Romance-Paranormal"
"Alpha Male","Romance","NONE","Fiction:Romance-Paranormal"
"Fantasy","Shapeshifter","NONE","Fiction:Fantasy-Shapeshifter"
"Erótico","Romántico","Humor","Fiction:Romantic-Erotic-Humorous"
"Fiction","Fiction:Espionage","Fiction:Other","__ComboRule_with_3"
"Fiction","Fiction:Science","NONE","__ComboRule_with_2"
