"old_string","new_string"
"Espanol","Español"
"Fantastico","Fantástico"
"Satira","Sátira"
"Romantico","Romántico"
"Magico","Mágico"
"Antropologia","Antropología"
"Política","Política"
"Policiaco","Po­li­cía­co"
"Poesia","Poesía"
"policiaca","policíaca"
"dramatica","dramática"
"Filosofia","Filosofía"
"Ficcion","Ficción"
"Fantasia","Fantasía"
"Investigacion","Investigación"
"Espana","España"
"Erotico","Erótico"
"epica","épica"
"Psicologia","Psicología"
"Economia","Economía"
"Divulgacion","Divulgación"
"Recopilacion","Recopilación"
"Clasico","Clásico"
"Comunicacion","Comunicación"
"Tecnologia","Tecnología"
"Biografia","Biografía"
"Autobiografia","Autobiografía"
"Belico","Bélico"
"Psicologia","Psicología"
"Senor","Señor"
"España","España"
"Español","Español"
"espana","España"
"espanol","Español"
"ficcion","Ficción"
